,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5400,22340177,Cheerful 1 Bedroom Venice Canals,90089976.0,1.4670905187931044e+18,Tali,City of Los Angeles,Venice,33.98721,-118.46499,Entire home/apt,,30.0,0,,,1.0,0,0,
5600,23294079,Cozy Two-Bedroom Cottage near downtown Culver City,40064204.0,1.465597746968555e+18,Patricia,Other Cities,Culver City,34.020275710960604,-118.39471513962684,Entire home/apt,,2.0,55,2019-05-19,0.54,1.0,0,0,
5800,25256092,Modern LA Home + Jacuzzi (Sofi-LAX-Forum-USC),16050409.0,1.462977068622591e+18,Justin,City of Los Angeles,Manchester Square,33.96332,-118.31379,Entire home/apt,468.0,1.0,132,2026-05-16,1.35,1.0,297,23,HSR21-000783
6000,25516397,Beautiful Brentwood Home with Big Kitchen and Yard,2942416.0,1.4626130726753285e+18,Basil,City of Los Angeles,Brentwood,34.05173,-118.46605,Private room,,30.0,12,2018-09-15,0.12,1.0,0,0,
6200,26167685,Simple Clean Place To Crash in NOHO,42143645.0,1.4656269851183114e+18,Zahara,City of Los Angeles,North Hollywood,34.15984,-118.3675,Private room,,30.0,0,,,1.0,0,0,
6400,27531021,Spacious 2BR Long Beach Stay | Compact Parking,2633402.0,1.4625253942940262e+18,Simone,Other Cities,Long Beach,33.79591,-118.1229,Entire home/apt,,2.0,81,2026-04-07,0.85,1.0,1,9,PRP21-00036
6600,27697124,Amazing DTLA 3 Bed 2 Bath Luxury Pad W/ Loft,107175934.0,1.4672990627080115e+18,Von,City of Los Angeles,Westlake,34.05643,-118.28859,Entire home/apt,211.0,30.0,22,2019-03-11,0.23,1.0,180,0,
6800,30014270,Cuarto pequeño con bańo privado en casa familiar,220793143.0,1.469166081567928e+18,Celia Elena,Other Cities,Hawthorne,33.90618,-118.33096,Private room,,1.0,93,2022-11-12,1.01,2.0,0,0,
7000,30268334,High Desert Oasis,37046384.0,1.4655517423006922e+18,Challen,Other Cities,Palmdale,34.5911,-118.16172,Private room,,1.0,22,2019-08-25,0.24,1.0,0,0,
7200,31362585,Cozy Private Studio w/ Full Kitchen & Washer/Dryer,132448096.0,1.4683245850900652e+18,Ava,City of Los Angeles,West Hills,34.19094,-118.64787,Entire home/apt,83.0,30.0,30,2026-03-09,0.33,1.0,138,2,HSR19-003864
