,id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23200,1082043414324830582,Cozy Renovated House • Near Dining & Markets,309661777.0,1.4695771237177623e+18,Jing,Unincorporated Areas,South San Gabriel,34.0527549,-118.0960594,Entire home/apt,270.0,1.0,104,2026-06-13,3.77,1.0,195,51,
23400,1086520204586708242,"(B)New studio, washer dryer",20080958.0,1.4630988939291154e+18,Sanjiv,City of Los Angeles,Mid-City,34.047386885156335,-118.3532016067127,Entire home/apt,81.0,30.0,3,2026-02-11,0.38,6.0,256,3,
23600,1097479642784281806,"Rancho Palos Verdes, California Near Redondo Beach",486008270.0,1.4701877239727688e+18,Ravin,Other Cities,Rolling Hills Estates,33.78057,-118.37366,Private room,217.0,1.0,0,,,1.0,89,0,
23800,1113939880850748769,Brand New! Cozy Bedroom south La|DTLA|EXPO line,542364477.0,1.4704298454164344e+18,Darin,City of Los Angeles,Exposition Park,34.01713,-118.30949,Private room,33.0,30.0,5,2026-02-13,0.2,4.0,68,1,
24000,1117621623906257195,Private Bedroom w/ 3 beds| Koreatown Near DTLA,567816362.0,1.4705266215981868e+18,Joyce,Other Cities,Beverly Hills,34.06222977083374,-118.4059781964203,Private room,147.0,2.0,28,2026-05-24,1.07,8.0,156,16,
24200,1122670703887751615,Spacious and Sunny Flat in Heart of WEHO!,424466107.0,1.469925274804923e+18,Blake,Other Cities,West Hollywood,34.08999731185548,-118.36215321025692,Entire home/apt,230.0,2.0,22,2026-06-05,0.84,5.0,256,16,Exempt
24400,1145767577986080764,"ৎ୭ Elm Mountain Viewৎ୭ Fire pit, quiet and more",486068074.0,1.4638156715296868e+18,Britney And Joseph,City of Los Angeles,Tujunga,34.23859,-118.27702,Entire home/apt,209.0,30.0,4,2026-04-09,0.27,25.0,326,3,
24600,1154453527668526219,Getaway Retreat Sleeps 7 Guest Home,170985204.0,1.4686616748292058e+18,Global Exclusive Rentals,City of Los Angeles,Valley Village,34.17175312317253,-118.41186293825022,Entire home/apt,340.0,30.0,0,,,13.0,365,0,HSR23-002794
24800,1158280726917539093,Mid-City Oasis,22244636.0,1.4631751323839703e+18,Anedra,City of Los Angeles,Mid-Wilshire,34.05212,-118.33748,Entire home/apt,446.0,30.0,0,,,1.0,228,0,
25000,1167439671540283234,H:Great room/shared bathroom/Free parking,482541462.0,1.4701729597189586e+18,Jiao,Unincorporated Areas,Hacienda Heights,33.99553,-117.9747,Private room,84.0,1.0,32,2026-04-02,1.78,10.0,268,18,
25200,1173245853924962470,Audrey Studio Apartment in Ktown,98675144.0,1.4671863048420372e+18,Nadia,City of Los Angeles,Westlake,34.055929013462645,-118.28773793825384,Entire home/apt,85.0,30.0,0,,,9.0,319,0,
25400,1183009814551965647,A Unique Studio+Bathroom+Parking,216065953.0,1.469133406522821e+18,Niaz,Other Cities,El Segundo,33.92975,-118.40344,Entire home/apt,244.0,30.0,12,2025-10-08,0.52,8.0,270,2,45458
25600,1191091375939065048,*2BR Monrovia Near LA Sights,39082970.0,1.4626804069381652e+18,Jsd,Other Cities,Monrovia,34.13712,-117.99743,Entire home/apt,411.0,1.0,8,2026-05-05,0.34,23.0,324,4,
25800,1191429276758171277,Airy and quiet 1 bedroom cottage,586880409.0,1.4706047645220485e+18,Jitka,Other Cities,Lawndale,33.900532070753044,-118.3533176562454,Entire home/apt,,30.0,0,,,2.0,0,0,
26000,1206722998829699593,Venice Bungalow w/ HUGE backyard,9525999.0,1.4625699653011676e+18,Jackie,City of Los Angeles,Venice,33.994752621434955,-118.4575095194213,Entire home/apt,200.0,30.0,2,2024-11-19,0.09,1.0,312,0,Hsr20-252607
26200,1220733852413326977,Modern Sherman Oaks Cottage,159248263.0,1.46855038269711e+18,Aliona,City of Los Angeles,Sherman Oaks,34.1666,-118.42736,Entire home/apt,547.0,2.0,0,,,1.0,350,0,HSR24-002129
26400,1219117179515599341,Light Filled loft apt in West LA,11565704.0,1.4628677235356326e+18,Reggie,Other Cities,Culver City,33.98573,-118.3836,Private room,183.0,2.0,3,2025-05-14,0.14,1.0,364,0,
26600,1227569247522709238,Zen studio space with cozy loft!,1727899.0,1.4625768789241436e+18,Braden,Unincorporated Areas,Topanga,34.10417541420948,-118.59219869130072,Entire home/apt,274.0,2.0,44,2026-05-03,1.99,1.0,348,15,
26800,1232745923921713261,Ensuite Private Bedroom in WestLA 25,595419332.0,1.4706253798503086e+18,Max,Other Cities,Culver City,34.00972,-118.41973,Private room,130.0,1.0,37,2026-06-01,1.74,20.0,362,20,
27000,1247941866394608615,Bohemian Bless Retreat+Gated Parking/ Beach/DT,102248692.0,1.4672270934952044e+18,Ashkan,Other Cities,Long Beach,33.79177750926029,-118.18111216643167,Entire home/apt,330.0,1.0,62,2026-05-31,3.23,5.0,256,41,NRP24-01841
27200,1254495445455232717,Hollywood Bungalow POP Room,155173.0,1.4625111409698117e+18,Aubrey,City of Los Angeles,Hollywood Hills,34.144526762003856,-118.34080325650056,Private room,113.0,1.0,56,2026-05-15,3.14,33.0,336,43,
27400,1269928256424436943,Boutique House in Hollywood,64262973.0,1.466793346824495e+18,Tyler,City of Los Angeles,Hollywood,34.085808464388606,-118.33698851996591,Entire home/apt,,30.0,0,,,1.0,364,0,
27600,1279416233450978900,Modern 2 story w/Garage Parking & Pool,8639323.0,1.4625659757889393e+18,Airbnb Gurus,City of Los Angeles,Valley Glen,34.18345794615342,-118.40544662694226,Entire home/apt,443.0,30.0,0,,,12.0,365,0,
27800,1280627209368052857,DT Alhambra 3BR | Garage Parking | Walk to Dining,249426084.0,1.469322269896112e+18,Jeff,Other Cities,Alhambra,34.09587677921414,-118.1289524061668,Entire home/apt,499.0,1.0,48,2026-06-07,2.44,13.0,327,27,
28000,1285295440615161869,Designer Touch Stylish Townhome,106090789.0,1.4672867757073388e+18,Alina,Other Cities,Glendale,34.162948655882104,-118.26216082761913,Entire home/apt,343.0,32.0,1,2025-01-01,0.06,12.0,193,0,
28200,1305834249502280040,Family Suite with 2 Rooms,42220.0,1.4625074613472084e+18,Terry,Other Cities,Long Beach,33.78851,-118.15762,Private room,200.0,1.0,11,2026-05-24,0.62,7.0,256,4,Exempt
28400,1309444538099966481,Ideal for Groups: 3 Rooms Ideal for LA Exploring,468914943.0,1.4701142821308321e+18,RoomPicks,City of Los Angeles,Echo Park,34.0661472,-118.2537528,Hotel room,552.0,30.0,1,2025-08-17,0.1,49.0,294,1,Exempt - This listing is a hotel or motel
28600,1304866266784373796,Upscale Hollywood Retreat - King,94368643.0,1.462857768908637e+18,Michael,Other Cities,Burbank,34.15343816477957,-118.3367060829913,Entire home/apt,245.0,2.0,63,2026-05-26,3.47,1.0,303,47,
28800,1323576104804658275,Beachy townhouse retreat - monthly rental,6558406.0,1.462546165583994e+18,Anna,Other Cities,Redondo Beach,33.87366,-118.3727,Private room,91.0,31.0,1,2025-02-09,0.06,1.0,53,0,
29000,1332263867101854231,Modern 2BR w/ Hot Tub Near LAX & Culver City,462077128.0,1.4685616769536899e+18,Aileen,City of Los Angeles,Playa Vista,33.98212,-118.41051,Entire home/apt,311.0,1.0,12,2026-05-18,0.79,16.0,223,10,
29200,1333458577174558148,Highrise Elegance,25010806.0,1.4653308555397947e+18,Nadia,City of Los Angeles,Downtown,34.04855,-118.25955,Entire home/apt,129.0,30.0,0,,,2.0,290,0,
29400,1338384328280511285,2 Rooms w/ Large Beds + Close to Stoney Point Park,501999514.0,1.470257160985456e+18,RoomPicks,City of Los Angeles,Chatsworth,34.249519,-118.6049181,Private room,449.0,1.0,0,,,76.0,365,0,Exempt - This listing is a hotel or motel
29600,1340711306155280773,Jie’s Family-Sized 4B Home in New Gated Community,19236518.0,1.4630724726082877e+18,LAhome,Other Cities,Baldwin Park,34.079384325208935,-117.95418766676302,Entire home/apt,202.0,31.0,3,2025-11-03,0.19,86.0,124,2,
29800,1353771619376986650,Clean & Cozy Studio Near Dining & Attractions,36236635.0,1.4655381170204547e+18,Jason,City of Los Angeles,Sherman Oaks,34.16933799310109,-118.46559907008412,Entire home/apt,111.0,30.0,2,2025-08-18,0.15,59.0,352,1,
30000,1347194263646041336,Santa Monica Luxury Suite ST,97714912.0,1.467177058487707e+18,Wendy & Vince,Other Cities,Santa Monica,34.02449,-118.50554,Private room,162.0,30.0,1,2025-03-06,0.06,4.0,365,0,226919
30200,1359520816624608146,40% off New rental room in LA w/private bath JS1,239226595.0,1.4632593934268127e+18,Wonnie,City of Los Angeles,Lincoln Heights,34.07642265452868,-118.20921361069172,Private room,48.0,30.0,0,,,68.0,365,0,
30400,1364941537170570411,Valley Village Retreat,159624014.0,1.4630062101852447e+18,Alon,City of Los Angeles,Valley Village,34.16522,-118.40532,Entire home/apt,489.0,30.0,1,2025-12-08,0.16,16.0,352,1,
30600,1379091320883412630,Gated Designers stunning Private Villa with Views.,3075694.0,1.462617751215912e+18,Dasquito Designs,City of Los Angeles,Studio City,34.13960200781364,-118.39755734190028,Entire home/apt,694.0,30.0,0,,,3.0,90,0,Exempt - This listing is a transient occupancy residential structure
30800,1387615864141140479,Cozy Co-Living Near USC,668954332.0,1.4706779652984297e+18,Chosan,City of Los Angeles,Exposition Park,34.025318,-118.3066138,Private room,60.0,31.0,0,,,275.0,293,0,
31000,1391356557585456806,UCLA Adjacent Private Room Rent,679821480.0,1.4639350703153562e+18,Zuma Housing,City of Los Angeles,Westwood,34.05871326532647,-118.4396317109878,Private room,59.0,30.0,0,,,162.0,344,0,
31200,1395076169518296004,Montana property,181981815.0,1.4687561137667804e+18,Salpy,Unincorporated Areas,Castaic,34.47141352256146,-118.6343179380184,Private room,228.0,1.0,30,2026-05-31,2.46,4.0,357,30,
31400,1396623731060670344,UCLA Private Room | Top Location,679821480.0,1.4639350703153562e+18,Zuma Housing,City of Los Angeles,Westwood,34.04988,-118.44098,Private room,72.0,30.0,0,,,162.0,335,0,
31600,1405237406542080931,Venice Beach 2BR w/ Private Rooftop,478438198.0,1.4701555262462943e+18,David,City of Los Angeles,Venice,33.9917856,-118.4763219,Entire home/apt,173.0,31.0,1,2025-08-06,0.09,1.0,302,1,
31800,1421976811978076592,Beautiful 2-bedroom in walkable Atwater Village,117267.0,1.4625099969294354e+18,Peter,City of Los Angeles,Atwater Village,34.12861,-118.26862,Entire home/apt,323.0,30.0,0,,,1.0,72,0,
32000,1423513310054578200,"Luxury 3-Bedroom Estate, High-End Comfort & Style",383528409.0,1.4697864219504095e+18,Moksha,City of Los Angeles,Hollywood Hills,34.11670043127611,-118.32749572172,Entire home/apt,766.0,1.0,7,2026-05-29,1.02,1.0,191,7,HSR25-002392
32200,1427513174274539788,Base Camp Bungalow,15290624.0,1.4625935445379904e+18,Ron,Other Cities,Inglewood,33.9356259,-118.3330863,Entire home/apt,186.0,31.0,0,,,1.0,364,0,
32400,1427075213818679090,(Top FL) | Private Bed & bath! Co-Living,690430385.0,1.4682461218079398e+18,Ann And Raymond,City of Los Angeles,Exposition Park,34.0229364,-118.3017999,Private room,53.0,30.0,2,2026-05-04,0.34,66.0,338,2,
32600,1437152751482833952,Peaceful 1BR Stay with 2Parking,329991301.0,1.463463485578743e+18,Chloe,Other Cities,Culver City,34.00893,-118.4154,Entire home/apt,224.0,1.0,42,2026-05-22,3.41,24.0,359,41,
32800,1445339115600260580,Near Los Angeles Stadium/Home Away From Home,33872966.0,1.4654951158459402e+18,Norma,Other Cities,Downey,33.9431897,-118.1210687,Entire home/apt,261.0,2.0,25,2026-06-07,2.22,2.0,206,25,
33000,1450238246084382625,Cute Fairfax Blvd 2 Bedroom by Lacma,383790851.0,1.4635762788962076e+18,Cozy Homes,Other Cities,Beverly Hills,34.07419,-118.39591,Entire home/apt,535.0,1.0,10,2025-12-11,1.05,90.0,77,10,
33200,1455908287872958443,Close to Aerospace | Theater Room + On-Site Dining,585911321.0,1.470602163092855e+18,Hotel In Palmdale,Other Cities,Palmdale,34.59964338898297,-118.13881532371832,Private room,193.0,1.0,5,2025-12-21,0.44,2.0,175,5,
33400,1463396185339854034,"*NEW* Westwood Penthouse 3 Bedroom, Modern Style!",409182550.0,1.4698686246343785e+18,Enclave Corporate Housing,City of Los Angeles,Sawtelle,34.04998,-118.44807,Entire home/apt,477.0,2.0,8,2026-06-05,0.89,2.0,89,8,
33600,1462520989756312099,Modern dtla gem w/ views + free parking,373539777.0,1.469758942783784e+18,Ifa,City of Los Angeles,Downtown,34.04711,-118.26276,Entire home/apt,160.0,30.0,1,2025-09-23,0.11,1.0,301,1,
33800,1476430177400368298,Spacious 4 bedroom/6 beds Townhome -FIFA World Cup,158795557.0,1.4685465079260204e+18,Rachel,City of Los Angeles,Silver Lake,34.09777,-118.25377,Entire home/apt,1398.0,2.0,11,2026-04-18,1.47,1.0,365,11,HSR25-002318
34000,1472513554336411211,Beverly Hills Lux Townhouse,587340774.0,1.4706062200406536e+18,Dan,City of Los Angeles,Pico-Robertson,34.0547158,-118.3956407,Entire home/apt,306.0,31.0,1,2026-05-12,0.81,11.0,352,1,
34200,1481755736815253469,Cozy Private Room & Bath,668954332.0,1.4706779652984297e+18,Chosan,City of Los Angeles,Exposition Park,34.0240353,-118.3060546,Private room,45.0,31.0,0,,,275.0,365,0,
34400,1488705872337680064,"Tranquil, Private Studio!",713736939.0,1.4886445132945956e+18,Goli,City of Los Angeles,Woodland Hills,34.15283,-118.62908,Private room,86.0,30.0,0,,,1.0,365,0,
34600,1492157109989681517,Alhambra高级公寓单间（游泳、停车位）,526656410.0,1.4703683165198659e+18,Yan,Other Cities,Monterey Park,34.06934037818983,-118.12597282626056,Private room,158.0,1.0,1,2025-08-28,0.1,35.0,364,1,
34800,1497153287824485765,Private 1b1b room downtown |,715568005.0,1.4959341370420342e+18,Chloe,City of Los Angeles,Exposition Park,34.02399,-118.30636,Private room,,30.0,0,,,17.0,16,0,
35000,1507566837829634248,azusa 4 bed,392789878.0,1.469814869032216e+18,Robert,Unincorporated Areas,Citrus,34.12083,-117.89684,Entire home/apt,367.0,2.0,0,,,8.0,365,0,
35200,1512505957215836373,New! Renovated Apt w New Furniture & Appliances,36236635.0,1.4655381170204547e+18,Jason,City of Los Angeles,Sherman Oaks,34.14692,-118.42665,Entire home/apt,128.0,31.0,2,2025-12-25,0.27,59.0,134,2,
35400,1508782931217131274,Bayfront Luxe,64464060.0,1.4667959952490153e+18,Suzanne,Other Cities,Long Beach,33.7557039,-118.1320388,Entire home/apt,503.0,3.0,17,2026-06-07,1.98,5.0,250,17,NRP25-02100
35600,1521748766226078405,Redondo Waterfront | Pool. Dining + Pet Friendly,721532133.0,1.5217467075937252e+18,Shade Hotel Redondo Beach,Other Cities,Redondo Beach,33.84731,-118.3944,Private room,1213.0,1.0,0,,,7.0,234,0,
35800,1527083354554293050,Bright & Stylish Condo in Downtown Long Beach,582753595.0,1.470593286348087e+18,Chelsea,Other Cities,Long Beach,33.773604,-118.1952683,Entire home/apt,357.0,1.0,5,2026-06-08,1.72,1.0,192,5,NRP24-01652
36000,1541052792512589575,Modern West Hollywood Double Suite,234446704.0,1.46924854035411e+18,Darwin,Other Cities,West Hollywood,34.08947,-118.35432,Entire home/apt,354.0,1.0,1,2026-02-13,0.24,5.0,167,1,Exempt
36200,1542237591397984940,Fully Equipped ADU Near Hospitals & Business Hubs,25323170.0,1.4653402220139195e+18,Aditya,City of Los Angeles,Encino,34.18051,-118.52111,Entire home/apt,105.0,30.0,0,,,1.0,306,0,
36400,1538493345235248490,Joyful place,270372958.0,1.4694281976725071e+18,Evelina,City of Los Angeles,Sherman Oaks,34.1375,-118.46744,Entire home/apt,274.0,1.0,10,2026-05-20,2.42,3.0,343,10,HSR25-002357
36600,1554645470565141913,"Private Room, 10 mins from DTLA - Pet-friendly!",427850690.0,1.469938884575072e+18,Haven Co-Living,City of Los Angeles,Boyle Heights,34.04618549187487,-118.21389228016,Private room,40.0,30.0,1,2026-04-01,0.39,35.0,365,1,
36800,1556794520184352112,LUX Hollywood Resort - Parking |Balcony |Pool |Gym,379382953.0,1.4697749997790413e+18,Wally,City of Los Angeles,Hollywood,34.094377602053804,-118.34539437322005,Entire home/apt,330.0,2.0,11,2026-05-27,1.74,14.0,226,11,Exempt
37000,1561455703359238364,Cozy private room special price 2,4780152.0,1.4625372374553434e+18,Sara M,City of Los Angeles,Westwood,34.055015515609625,-118.42979392985676,Private room,58.0,31.0,1,2026-05-23,1.0,114.0,320,1,
37200,1569969870594546996,Nice and cool bed room with a full size bed,732139807.0,1.5676056340544865e+18,Amber,Other Cities,Claremont,34.13512,-117.70838,Private room,94.0,31.0,1,2026-02-15,0.25,5.0,364,1,
37400,1572720788498417129,Small Studio in Venice Beach Close to Rose Avenue,733125006.0,1.5719642374900974e+18,Mid-Term Rentals LA,City of Los Angeles,Venice,33.99857742361493,-118.46929742225278,Entire home/apt,105.0,30.0,0,,,17.0,332,0,
37600,1581472277203114680,Hollywood Affordable Studio Close to Western Ave,731052124.0,1.577806708318939e+18,DeeDee,City of Los Angeles,Hollywood,34.10489,-118.31454,Private room,88.0,30.0,0,,,34.0,345,0,
37800,1587226012438743859,Jumpin Jack Flash,76816167.0,1.4669414615068698e+18,Richard,Other Cities,Carson,33.84721,-118.25974,Entire home/apt,119.0,1.0,1,2026-03-20,0.34,1.0,362,1,
38000,1581972355857967769,Upgraded 2BR apt w Rooftop Pool & Stunning Vibes,17299131.0,1.4630068328904246e+18,Robert,City of Los Angeles,Hollywood,34.10152,-118.32559,Entire home/apt,637.0,2.0,9,2026-04-17,1.89,21.0,359,9,Exempt - This listing is a hotel or motel
38200,1593909688354096905,Romantic Airstream Retreat Surrounded by Nature,483100938.0,1.4701752465618235e+18,Sam,Unincorporated Areas,Agua Dulce,34.48227,-118.37358,Entire home/apt,165.0,1.0,0,,,5.0,365,0,
38400,1598819708578390282,Luxury 6BR Arcadia Estate | Large Backyard S#42204,27324042.0,1.4654033831271084e+18,Sam,Other Cities,Arcadia,34.12192,-118.03534,Entire home/apt,644.0,29.0,0,,,14.0,365,0,
38600,1603165338496807964,"Ocean view, hot tub, large outdoor patio",41932275.0,1.5812555462698045e+18,Kerinia,City of Los Angeles,San Pedro,33.71863,-118.30429,Entire home/apt,371.0,2.0,1,2026-06-09,1.0,1.0,83,1,HSR26-000193
38800,1609808217516783257,"New LA Guest House near LAX, Stadiums, Beaches",743302794.0,1.6098082182025756e+18,Quin,City of Los Angeles,Hyde Park,33.9993041,-118.3227681,Entire home/apt,107.0,30.0,1,2026-05-09,0.77,1.0,347,1,
39000,1614590660561334193,"Venice Escape | A/C, Parking + W/D | Near Beach",7097097.0,1.4627233723723459e+18,Mike,City of Los Angeles,Venice,33.98563,-118.46547,Entire home/apt,177.0,30.0,0,,,3.0,175,0,
39200,1622776609622152627,Bright & Spacious Private Room w/Suite Bath 102.3,737411913.0,1.5896694173108068e+18,OngoingTeam,Other Cities,Glendale,34.13298,-118.25555,Private room,164.0,1.0,3,2026-05-08,1.22,19.0,12,3,
39400,1624868959234115824,"Beachside Loft | Pool, Hot Tub & 120” Cinema",465296097.0,1.4700970891481718e+18,Edo,Unincorporated Areas,Marina del Rey,33.97023,-118.45354,Entire home/apt,388.0,1.0,8,2026-06-07,2.38,1.0,166,8,
39600,1633143212883436399,宽敞明亮三房两卫别墅｜阳光庭院休闲空间，家庭度假轻松自在，靠近迪士尼与美食,133985407.0,1.468337462284712e+18,Ruby,Unincorporated Areas,South San Jose Hills,34.00937184378275,-117.9040750878906,Entire home/apt,406.0,1.0,16,2026-06-13,4.85,11.0,131,16,
39800,1629883498418169353,Architectural 2BR 2BA Loft w/ Skyline Views By USC,206654603.0,1.6247146498664947e+18,Pasha,City of Los Angeles,Adams-Normandie,34.02932374977495,-118.30614981953926,Entire home/apt,153.0,31.0,0,,,3.0,273,0,
40000,1639342374060672854,Nichols Canyon 3BD Home w/ Pool + Tennis Court,409985549.0,1.4636357328332413e+18,Bona Bona LLC,City of Los Angeles,Hollywood Hills,34.12243,-118.35655,Entire home/apt,866.0,30.0,0,,,20.0,365,0,
40200,1645674658786669007,Downtown LA Suite w/ Dining Space & City Views,495439249.0,1.4678434382318e+18,RoomPicks,City of Los Angeles,Downtown,34.04919,-118.24246,Hotel room,282.0,1.0,0,,,24.0,291,0,Exempt - This listing is a hotel or motel
40400,1647751404301212334,Patio| Ensuite Bathtu| Private Bed & Bath,651318479.0,1.4683792827940462e+18,Shark & Tina,City of Los Angeles,Exposition Park,34.02361833190009,-118.3067189938358,Private room,47.0,31.0,0,,,223.0,105,0,
40600,1654554930332225756,Modern Hollywood Studio•Gym• Free Parking•WI-FI,5856166.0,1.4685551642487854e+18,Dakota,City of Los Angeles,Hollywood,34.09539,-118.32971,Entire home/apt,228.0,1.0,3,2026-05-25,1.23,2.0,343,3,Exempt - This listing is a hotel or motel
40800,1650884601467284258,Apartment near Universal,743624522.0,1.617510391713901e+18,Anna,City of Los Angeles,Hollywood,34.09906162669969,-118.31964025592325,Entire home/apt,294.0,1.0,9,2026-06-08,3.8,4.0,70,9,Exempt - This listing is a hotel or motel
41000,1660291205577476954,好莱坞中心｜独立房+独立卫浴｜步行星光大道｜长短租,104030370.0,1.4672488383253645e+18,Allen,City of Los Angeles,Hollywood,34.0927054432732,-118.3117448233418,Private room,55.0,30.0,0,,,6.0,365,0,
41200,1663361025079846517,Private Bed & Bath | Business Travel,690430385.0,1.4682461218079398e+18,Ann And Raymond,City of Los Angeles,Exposition Park,34.0230539,-118.3019154,Private room,37.0,30.0,0,,,66.0,364,0,
41400,1669781490353803781,Rambla Vista Estate|Malibu Ocean Views By Canderra,1147942.0,1.4625162343263475e+18,Vardaan,Other Cities,Malibu,34.04018,-118.64506,Entire home/apt,2488.0,2.0,0,,,1.0,332,0,STR23-0022
41600,1670500642042049644,"Hollywood Hills, Close to Sunset and Universal",358824280.0,1.4697187696625974e+18,Cristina And James,City of Los Angeles,Hollywood Hills West,34.10807,-118.37414,Entire home/apt,741.0,1.0,0,,,1.0,33,0,HSR26-000883
41800,1673997558948587930,"Queen’s Necklace Views, Hot Tub & Pizza Oven",694906460.0,1.6739975597969987e+18,Zac,Unincorporated Areas,Topanga,34.04349,-118.57297,Entire home/apt,2310.0,2.0,1,2026-06-02,1.0,1.0,47,1,
42000,1681340850651091764,"Hollywood Foothills Oasis with Pool, Rooftop, View",50544665.0,1.4657746198810406e+18,Candice,City of Los Angeles,Hollywood,34.09906540963351,-118.35486401250397,Entire home/apt,750.0,30.0,0,,,1.0,364,0,HSR26-001011
42200,1680571706089318838,Explore Los Angeles l 2 Units w/ Pool Access,495438734.0,1.4702298927613588e+18,SBH Getaways,Other Cities,West Hollywood,34.0898352,-118.3790116,Hotel room,1030.0,1.0,0,,,74.0,355,0,Exempt
42400,1684195580020544538,2 Modern Double Stay Near Torrance Area,174792040.0,1.463062109462153e+18,Roompicks By Victoria,Other Cities,Torrance,33.84152,-118.30991,Private room,594.0,1.0,0,,,27.0,365,0,
42600,1685964600621622570,Beach View 1BR w/ Juliet Balconies + Large Patio,85048744.0,1.4670261597172247e+18,Sky,Other Cities,Hermosa Beach,33.85850729381152,-118.39919558015782,Entire home/apt,293.0,30.0,0,,,3.0,321,0,
42800,1693492155005294508,Close to Santa Monica Pier + Free Bikes & Gym,1.6645500124439693e+18,1.664557238517363e+18,Ambrose Santa Monica,Other Cities,Santa Monica,34.029290052781725,-118.48123129844063,Private room,414.0,1.0,0,,,6.0,174,0,Exempt
43000,1696557482583413715,"Private Beverly Hills Oasis | Pool, Spa & Garden",50747532.0,1.465778849649422e+18,Mariano,Other Cities,Beverly Hills,34.08126,-118.41207,Entire home/apt,717.0,1.0,0,,,6.0,297,0,
43200,1700572563947818497,Stylish Santa Monica Apartment Near Beach & Pier,730769375.0,1.5613849768232205e+18,SoftStayrental,Other Cities,Santa Monica,34.0323222,-118.4672123,Private room,394.0,1.0,0,,,7.0,44,0,Exempt
43400,1701838216796419790,The Hollywood Nook - One Bedroom,1.7009469809167677e+18,1.7011028391871923e+18,Summer Vibes,City of Los Angeles,Hollywood,34.10045,-118.32666,Entire home/apt,209.0,1.0,0,,,7.0,359,0,Exempt - This listing is a hotel or motel
43600,1704943333919949583,The City of Angels in your Hands,286746157.0,1.7049433347085545e+18,Gesler,City of Los Angeles,Pacoima,34.2615388,-118.4021388,Private room,66.0,30.0,0,,,1.0,364,0,
43800,1706112583664360887,USC Safe Zone | Top FL Private Bed & Bath,739959919.0,1.5978841339599278e+18,Jobs,City of Los Angeles,Exposition Park,34.0244184,-118.2993988,Private room,42.0,31.0,0,,,62.0,39,0,
